"Yeah!"|"Usher"|2004|101|"5rb9QrpfcKFHM1EUbSIurX"|"23zg3TcAtWQy7J6upgbUnj,7sfl4Xt5KmfyDs2T3SVSMK,3ipn9JLAPI5GUEo4y4jcoi"|"1RM6MGv6bcl6NrAG8PGoZk"
"Poker Face"|"Lady GaGa"|2009|101|"4IgtvSOVmBncIGd8GKeI4p"|"1HY2Jd0NmPuamShAr6KMms"|"7dKKBuYXrwYvbkbFOmwGHX"
"Lose Yourself"|"Eminem"|2002|1|"5Z01UMMf7V1o0MzF86s6WJ"|"7dGJo4pcD2V6oG8kP0tJRR"|"5qENHeCSlwWpEzb25peRmQ"
"Umbrella"|"Rihanna & Jay-Z"|2007|101|"2b15tXMkdnrTVmTxktq7Tq"|"5pKCCKE2ajJHZ9KAiaK11H,3nFkdlSjzX9mRTtwJOzDYB,2f6jGbE8VU74rb5AQtOdFz,2JkHlHHNPSd8VcZMWRY301"|"6nT2WJS6WHH86XRgkSK8yC"
"Bleeding Love"|"Leona Lewis"|2008|101|"7wZUrN8oemZfsEd1CGkbXE"|"5lKZWd6HiSCLfnDGrq9RAm"|"0VaAFegRAAn4OCg7p4QjN5"
"I Gotta Feeling"|"The Black Eyed Peas"|2009|6|"5qsbHA7Z5a2vp5wtBIzioT"|"1yxSLGMDHlW21z4YXirZDS"|"5dAEIoHepv1cSCGM8AbLdH"
"Without Me"|"Eminem"|2002|1|"7lQ8MOhq6IN2w8EYcFNSUk"|"7dGJo4pcD2V6oG8kP0tJRR"|"2cWBwpqMsDJC1ZUwz813lo"
"Hips dont lie"|"Shakira & Wyclef Jean"|2006|101|"50wOUkJZazQdOGp0ieomhc"|"5E7dSlQtTNWMBLHpEz03oG"|"4P0ogf6KJAmfYorsE4sL5s"
"Cant Get You Out of My Head"|"Kylie Minogue"|2001|101|"3E7ZwUMJFqpsDOJzEkBrQ7"|"4RVnAU35WRWra6OZ3CbbMA"|"4WzTXHp8bVKkKNu3UQ2Fqu"
"Hey Ya!"|"OutKast"|2003|101|"2PpruBYCo4H7WOBJ7Q2EwM"|"1G9G7WwrXka3Z1r7aIDjI7"|"1UsmQ3bpJTyK6ygoOOjG1r"
"In Da Club"|"50 Cent"|2003|101|"4RY96Asd9IefaL3X4LOLZ8"|"3q7HBObVc0L8jNeTe5Gofh"|"4ycNE7y1rp5215g1kkqk1P"
"Where is the Love?"|"The Black Eyed Peas"|2003|6|"0eUzhzitWRkgTHxBqlBVbp"|"1yxSLGMDHlW21z4YXirZDS"|"7dKKBuYXrwYvbkbFOmwGHX"
"I Kissed A Girl"|"Katy Perry"|2008|101|"005lwxGU1tms6HGELIcUv9"|"6jJ0s89eD6GaHleKKya26X"|"0r2BUyPTmpbfuz4rR39mLl"
"Hung Up"|"Madonna"|2005|2|"3850dYVgOFIXJh5U4BFEWH"|"6tbjWDEIzxoDsBA1FuhfPW"|"1hg0pQJLE9dzfT1kgZtDPr"
"Sexyback"|"Justin Timberlake"|2006|101|"0O45fw2L5vsWpdsOdXwNAR"|"31TPClRtHm23RisEBtV3X7,5Y5TRrQiqgUO4S36tzjIRZ"|"2scB1uhcCI1TSf6b9TCZK3"
"Whenever, Wherever"|"Shakira"|2002|101|"2lnzGkdtDj5mtlcOW2yRtG"|"0EmeFodog0BfCgMzAIvKQp"|"4DyMK9x2gnmRkRa16zHaEV"
"Low"|"Flo-Rida & T-Pain"|2008|101|"04sHiQK6UXSqK2MPmZMe4S"|"7cexsTZGAZcVK9qZg6YtGU"|"0IjoSP47JssUlhXphsYvRc"
"Dilemma"|"Nelly & Kelly Rowland"|2002|101|"1sMNuNh58FGMyAAAaGGfns"|"2gBjLmx6zQnFGQJCAQpRgw,3AuMNF8rQAKOzjYppFNAoB"|"0agFaYAo1wJpg0RoZMIYjQ"
"Bad Romance"|"Lady GaGa"|2009|101|"0SiywuOBRcynK0uKGWdCnn"|"1HY2Jd0NmPuamShAr6KMms"|"6rePArBMb5nLWEaY9aQqL4"
"Big Girls Dont Cry"|"Fergie"|2007|101|"3Q4WeJmzxuDpzMu9QjQqbM"|"3r17AfJCCUqC9Lf0OAc73G"|"0jwuTvP3hp2jFY08VLgvnD"
"Dont Cha"|"The Pussycat Dolls"|2005|101|"1gZ7i4qxXkHZb1r6eioaAP"|"6wPhSqRtPu1UhRCDX5yaDJ,1YfEcTuGvBQ8xSD1f53UnK"|"5x8e8UcCeOgrOzSnDGuPye"
"Music"|"Madonna"|2000|2|"2BcOZ4vOeu2qZowIHrvTYy"|"6tbjWDEIzxoDsBA1FuhfPW"|"3e3PxWKqv7lyZaR5d02abW"
"Apologize"|"Timbaland & OneRepublic"|2007|101|"5suCRIyDMxsIHMIDfPLzAl"|"5Y5TRrQiqgUO4S36tzjIRZ,63wjoROpeh5f11Qm93UiJ1,4TLCPR1sMYoNU1jA7O4uww"|"48d7X2wqCrdrUg8RnfCLBB"
"How You Remind Me"|"Nickelback"|2002|101|"0gmbgwZ8iqyMPmXefof8Yf"|"6deZN1bslXzeGvOLaLMOIF"|"5fKL7vMTXvhR9tov8Kqt3u"
"Crazy in Love"|"Beyonce"|2003|8|"5IVuqXILoxVWvWEPm82Jxr"|"6vWDO969PvNqNYHIOW5v0m,3nFkdlSjzX9mRTtwJOzDYB"|"6oxVabMIqCMJRYN1GqR3Vf"
"Lady Marmalade "|"Christina Aguilera, Lil Kim, Mya & Pink"|2001|101|"2gyZ5byNHUehLg0OftfybV"|"2PRnzYwpEwvnol9hMAmIWm"|"5E887e19cRT1g56RWkaRgd"
"Beautiful Girls"|"Sean Kingston"|2007|101|"1hGy2eLcmC8eKx7qr1tOqx"|"6S0dmVVn4udvppDhZIWxCr"|"71clfVkkopYLrgweVj2cow"
"The Ketchup Song "|"Las Ketchup"|2002|101|"6UEfyhyfhYQsyipxOd95Ie"|"1e8GEl48ktvfDpruMKB6Oe"|"5Fs94v1xXPl8Q1mTMWMTLO"
"All the Things She Said"|"t.A.T.u."|2003|101|"4bJygwUKrRgq1stlNXcgMg"|"2Q3eZMfDQgT8MhPowKFXYO"|"4vyPN44zoiJXE6hruCCrGB"
"Crazy"|"Gnarls Barkley"|2006|101|"2N5zMZX7YeL1tico8oQxa9"|"5SbkVQYYzlw1kte75QIabH"|"7p2aWivr9OLXocSTTKtG9B"
"Youre Beautiful"|"James Blunt"|2005|101|"0vg4WnUWvze6pBOJDTq99k"|"7KMqksf0UMdyA0UCf4R3ux"|"1ekaxA9Q5GzUPCepx4wzMF"
"Sexy Chick "|"David Guetta & Akon"|2009|101|"4aBI1cAHE49TbHoEnT6ri4"|"7cdl4r9XUVwt5AT16yeOwC"|"52pkzEmo77YXXVq7y05Wkk"
"So What"|"Pink"|2008|9|"0JiY190vktuhSGN6aqJdrt"|"1KCSPY1glIKqW2TotWuXOR"|"1LOJfNDxQhbpssKx7oM7at"
"Beautiful Day"|"U2"|2000|4|"1VuBmEauSZywQVtqbxNqka"|"51Blml2LZPmy7TTiAg47vQ"|"7gskILm9UyDvFlmmAoqn2g"
"Just Dance"|"Lady GaGa & Colby ODonis"|2008|101|"4tgud1VZ1JFYXKSt5cxVKh"|"5itJHkE0MNCpDbj3SSwIL8"|"5S1r4ITsnOEp7qsVQTQZ0r"
"Irreplaceable"|"Beyonce"|2006|8|"6RX5iL93VZ5fKmyvNXvF1r"|"6vWDO969PvNqNYHIOW5v0m"|"0Zd10MKN5j9KwUST0TdBBB"
"Girlfriend"|"Avril Lavigne"|2007|101|"45hOioMDJktr86iKDHC8gr"|"0p4nmQO2msCgU4IF37Wi3j"|"6lqE05fiHWJVYYdMVJNj38"
"Boom Boom Pow"|"The Black Eyed Peas"|2009|6|"7xRNsqOQOgWbHV1nbXnfXN"|"1yxSLGMDHlW21z4YXirZDS"|"36fdxiOzdlmsrHgGcfvqUJ"
"Complicated"|"Avril Lavigne"|2002|101|"5xEM5hIgJ1jjgcEBfpkt2F"|"0p4nmQO2msCgU4IF37Wi3j"|"3zXjR3y2dUWklKmmp6lEhy"
"Toxic"|"Britney Spears"|2004|3|"6I9VzXrHxO9rA9A5euc8Ak"|"26dSoYclwsYLMAKD3tpOr4"|"0z7pVBGOD7HCIB7S8eLkLI"
"Four Minutes"|"Madonna & Justin Timberlake"|2008|101|"1oHClQEgDmmbcEx12Kc5nZ"|"6tbjWDEIzxoDsBA1FuhfPW,31TPClRtHm23RisEBtV3X7,5Y5TRrQiqgUO4S36tzjIRZ"|"43lok9zd7BW5CoYkXZs7S0"
"Beautiful Liar"|"Beyonce & Shakira"|2007|101|"511lcL888Ji1vYrIB3DWrX"|"3m3rxBxMWtUeM8WH0rGP5m"|"6H7UcDvhsjacyXgk7FN8N1"
"Get the Party Started"|"Pink"|2002|9|"5PQfUieu3s08ojWER0HklM"|"1KCSPY1glIKqW2TotWuXOR,5V8TIYffsVLFO0A7nakWgM,56GZTHLEziPrsg4rNfz0pa"|"0juEh5N0q8DS9zx9EJAlm3"
"Lonely"|"Akon"|2005|101|"4hntZ32HU2xZwdtpAJUwvc"|"0z4gvV4rjIZ9wHck67ucSV"|"7dKKBuYXrwYvbkbFOmwGHX"
"Right Round"|"Flo-Rida & Kesha"|2009|101|"2Xa4NCKPbGRPXxAOJcU1ZH"|"7ihHolAdjjtkPQNBV3dwwX"|"5Cc6JuPSWLc0k8wAhaK9Ph"
"Bring Me to Life"|"Evanescence"|2003|101|"0COqiPhxzoWICwFCS4eZcp"|"5nGIFgo0shDenQYSE0Sn7c"|"02w1xMzzdF2OJxTeh1basm"
"F**k it "|"Eamon"|2004|101|"07OZcJGDIIK1uEzhsYE9Pq"|"1y20PpXw0yeuJ1avCD0Ob9,2C1F0i4BpuUX8wE086p15H"|"5A07Iz0OQCAWGFefn2ydri"
"Shut Up"|"The Black Eyed Peas"|2003|6|"5Uz94Q0SCDnw3KgtpFFWxg"|"1UNVJFSDvwWjoRoQGDgorD"|"6fqqQzqy5w1i3blUTu49xS"
"Hot n cold"|"Katy Perry"|2008|101|"1y4eb6hmAvsqlDOl3fx9kk"|"6jJ0s89eD6GaHleKKya26X"|"0r2BUyPTmpbfuz4rR39mLl"
"No One"|"Alicia Keys"|2007|101|"6IwKcFdiRQZOWeYNhUiWIv"|"3DiDSECUqqY1AuBP8qtaIa"|"6KlxyxhXEDo1LdheFulN7h"
"Fallin"|"Alicia Keys"|2001|101|"3unsLiH5FXmaDWtT5Imolu"|"3DiDSECUqqY1AuBP8qtaIa"|"1SLgJeTdzDAJLcDyQqoWnu"
"We Belong Together"|"Mariah Carey"|2005|101|"3LmvfNUQtglbTrydsdIqFU"|"4iHNK0tOyZPYnBU7nGAgpQ"|"43iBTEWECK7hSnE0p6GgNo"
